timestamp	kwh,building,timestamp,kwh
2024-11-01 08:00:00	25.0,Library,,
2024-11-01 09:00:00	28.5,Library,,
2024-11-01 10:00:00	30.2,Library,,
2024-11-01 11:00:00	35.0,Library,,
2024-11-01 12:00:00	34.0,Library,,
2024-11-01 13:00:00	32.5,Library,,
2024-11-01 14:00:00	30.0,Library,,
2024-11-01 15:00:00	28.0,Library,,
2024-11-01 16:00:00	26.5,Library,,
2024-11-01 17:00:00	22.0,Library,,
2024-11-02 08:00:00	24.0,Library,,
2024-11-02 09:00:00	27.5,Library,,
2024-11-02 10:00:00	29.0,Library,,
2024-11-02 11:00:00	33.0,Library,,
2024-11-02 12:00:00	32.5,Library,,
,Science,2024-11-01 08:00:00,45.5
,Science,2024-11-01 09:00:00,50.2
,Science,2024-11-01 10:00:00,55.8
,Science,2024-11-01 11:00:00,60.1
,Science,2024-11-01 12:00:00,58.4
,Science,2024-11-01 13:00:00,62.7
,Science,2024-11-01 14:00:00,65.0
,Science,2024-11-01 15:00:00,63.2
,Science,2024-11-01 16:00:00,59.5
,Science,2024-11-01 17:00:00,52.1
,Science,2024-11-02 08:00:00,44.0
,Science,2024-11-02 09:00:00,48.5
,Science,2024-11-02 10:00:00,53.2
,Science,2024-11-02 11:00:00,59.0
,Science,2024-11-02 12:00:00,57.5
